# isotopes: Ar37,Ar37,Ar37,Ar37,Ar37,Ar37,Ar37,Ar37,Se72,Se72,Se72,Se72,Se72,Se72,Se72,Se72,Ge68,Ge68,Ge68,Ge68,Ge68,Ge68,Ge68,Ge68,P32,P32,P32,P32,P32,P32,P32,P32,Y90,Y90,Y90,Y90,Y90,Y90,Y90,Y90,S35,S35,S35,S35,S35,S35,S35,S35
idx,m4_keV,n_events_expected,ue4sq_asimov,ue4sq_toys_median,median_err68,toys_p16,toys_p84
2.700000000000000000e+01,3.918680609556682271e+02,1.146034535860476753e+05,1.031426563719359387e-04,1.042932360160477012e-04,1.391872217628249079e-06,9.024203420169046484e-05,1.243336678814615788e-04
2.800000000000000000e+01,5.621358696956942822e+02,1.146034535860476753e+05,2.167558759410683641e-05,2.176196562719694713e-05,5.974304690624829511e-08,2.076506735413841237e-05,2.282772178239933836e-05
2.900000000000000000e+01,8.063855350392609580e+02,1.146034535860476753e+05,2.479890344365150276e-05,2.479890344365455208e-05,1.490777987167568597e-19,2.479890344365245482e-05,2.479890344365672726e-05
3.000000000000000000e+01,1.156762388197297014e+03,1.146034535860476753e+05,6.198191616782879141e-05,6.198191616782514578e-05,2.168404344971008868e-19,6.198191616782019911e-05,6.198191616783155613e-05
3.100000000000000000e+01,1.659378999999999905e+03,1.146034535860476753e+05,4.759441256182082164e-03,4.759441256182692787e-03,2.949029909160572061e-17,4.759441256182250432e-03,4.759441256183070089e-03
3.200000000000000000e+01,1.768271200000000078e+02,2.158254434004908835e+05,5.614920043548216055e-03,5.644559416973633087e-03,2.062826699137489464e-04,3.536452262521039020e-03,1.016938441905256355e-02
3.300000000000000000e+01,2.536590163652813317e+02,2.158254434004908835e+05,1.744818521745768311e-03,1.888285972811372436e-03,5.361217581718196769e-05,1.194858277668789034e-03,3.204528611157641312e-03
3.400000000000000000e+01,3.638745944818984412e+02,2.158254434004908835e+05,2.843565588900068514e-04,2.834534561159401272e-04,5.877443498992736878e-06,2.290342676124339520e-04,3.947735729560025849e-04
3.500000000000000000e+01,5.219791608696333469e+02,2.158254434004908835e+05,3.576387859029326775e-05,3.545987618831087079e-05,2.384992915260824165e-07,3.181561372231073696e-05,4.132495051593369550e-05
3.600000000000000000e+01,7.487806197904823193e+02,2.158254434004908835e+05,9.596214327251039925e-06,9.571902755883987020e-06,7.573435671013598795e-09,9.459348909206789194e-06,9.717458116280089898e-06
3.700000000000000000e+01,1.074127970242570427e+03,2.158254434004908835e+05,1.351154593714249998e-05,1.351154593714191214e-05,1.914294460794718766e-19,1.351154593713829192e-05,1.351154593714512747e-05
3.800000000000000000e+01,1.540839687838418513e+03,2.158254434004908835e+05,3.440617842337989380e-05,3.440617842337796934e-05,4.438452643612533777e-19,3.440617842336886881e-05,3.440617842338509119e-05
3.900000000000000000e+01,2.210338999999999942e+03,2.158254434004908835e+05,3.495283961402320238e-03,3.303364447993006013e-03,5.826418801691620082e-05,2.718715497358481243e-03,4.327406658369483718e-03
4.000000000000000000e+01,1.298248000000000069e+01,2.118804078771990135e+03,1.986282203991572848e-01,2.033219298945547759e-01,6.866387861801132031e-03,1.141889478650234407e-01,3.306994236796208519e-01
4.100000000000000000e+01,1.862340520380547559e+01,2.118804078771990135e+03,1.139209856963314810e-01,1.136179489023854128e-01,3.636908551184134253e-03,6.513087877818735105e-02,1.896069935381946570e-01
4.200000000000000000e+01,2.671532876500706521e+01,2.118804078771990135e+03,5.619235009773441286e-02,5.529800241595916876e-02,1.634809992710255233e-03,3.186500640521016531e-02,9.458397855940289811e-02
